Source,ox,Img,Confidence Score
whichfaceisreal,0_real,00000.jpeg,0.005051610060036182
whichfaceisreal,0_real,00001.jpeg,0.08103995025157928
whichfaceisreal,0_real,00002.jpeg,0.12064839899539948
whichfaceisreal,0_real,00003.jpeg,0.005568165797740221
whichfaceisreal,0_real,00004.jpeg,0.0650346502661705
whichfaceisreal,0_real,00005.jpeg,0.15279114246368408
whichfaceisreal,0_real,00006.jpeg,0.0038474968168884516
whichfaceisreal,0_real,00007.jpeg,0.004890608135610819
whichfaceisreal,0_real,00008.jpeg,0.005196829792112112
whichfaceisreal,0_real,00009.jpeg,0.6910616755485535
whichfaceisreal,0_real,00010.jpeg,0.01737503707408905
whichfaceisreal,0_real,00011.jpeg,0.035875748842954636
whichfaceisreal,0_real,00012.jpeg,0.0011373221641406417
whichfaceisreal,0_real,00013.jpeg,0.006507829762995243
whichfaceisreal,0_real,00014.jpeg,0.0012588101672008634
whichfaceisreal,0_real,00015.jpeg,0.009392540901899338
whichfaceisreal,0_real,00016.jpeg,0.0054961382411420345
whichfaceisreal,0_real,00017.jpeg,0.3707480728626251
whichfaceisreal,0_real,00018.jpeg,0.040006864815950394
whichfaceisreal,0_real,00019.jpeg,0.004638229962438345
whichfaceisreal,0_real,00020.jpeg,0.0009805037407204509
whichfaceisreal,0_real,00021.jpeg,0.025767333805561066
whichfaceisreal,0_real,00022.jpeg,0.021992066875100136
whichfaceisreal,0_real,00023.jpeg,0.024904876947402954
whichfaceisreal,0_real,00024.jpeg,0.0007753828540444374
whichfaceisreal,0_real,00025.jpeg,0.009570611640810966
whichfaceisreal,0_real,00026.jpeg,3.725727219716646e-05
whichfaceisreal,0_real,00027.jpeg,0.42432302236557007
whichfaceisreal,0_real,00028.jpeg,0.05283888429403305
whichfaceisreal,0_real,00029.jpeg,0.0033642789348959923
whichfaceisreal,0_real,00030.jpeg,0.03948720544576645
whichfaceisreal,0_real,00031.jpeg,0.01252203993499279
whichfaceisreal,0_real,00032.jpeg,0.019540224224328995
whichfaceisreal,0_real,00033.jpeg,0.00914387684315443
whichfaceisreal,0_real,00034.jpeg,0.27774545550346375
whichfaceisreal,0_real,00035.jpeg,0.03346968814730644
whichfaceisreal,0_real,00036.jpeg,0.008570675738155842
whichfaceisreal,0_real,00037.jpeg,0.0243940781801939
whichfaceisreal,0_real,00038.jpeg,0.010038066655397415
whichfaceisreal,0_real,00039.jpeg,0.02590218558907509
whichfaceisreal,0_real,00040.jpeg,0.0032525176648050547
whichfaceisreal,0_real,00041.jpeg,0.009203828871250153
whichfaceisreal,0_real,00042.jpeg,0.0043354216031730175
whichfaceisreal,0_real,00043.jpeg,0.6977313160896301
whichfaceisreal,0_real,00044.jpeg,0.06386732310056686
whichfaceisreal,0_real,00045.jpeg,0.15487030148506165
whichfaceisreal,0_real,00046.jpeg,0.09820819646120071
whichfaceisreal,0_real,00047.jpeg,0.13403940200805664
whichfaceisreal,0_real,00048.jpeg,0.016103599220514297
whichfaceisreal,0_real,00049.jpeg,0.015418889001011848
whichfaceisreal,0_real,00050.jpeg,0.41872644424438477
whichfaceisreal,0_real,00051.jpeg,0.009416992776095867
whichfaceisreal,0_real,00052.jpeg,0.04265814274549484
whichfaceisreal,0_real,00053.jpeg,0.00029093315242789686
whichfaceisreal,0_real,00054.jpeg,0.0012206608662381768
whichfaceisreal,0_real,00055.jpeg,0.004513390362262726
whichfaceisreal,0_real,00056.jpeg,0.0016995893092826009
whichfaceisreal,0_real,00057.jpeg,0.0032876310870051384
whichfaceisreal,0_real,00058.jpeg,0.0028140495996922255
whichfaceisreal,0_real,00059.jpeg,0.0025696982629597187
whichfaceisreal,0_real,00060.jpeg,0.08836343139410019
whichfaceisreal,0_real,00061.jpeg,0.0002922232961282134
whichfaceisreal,0_real,00062.jpeg,0.012821848504245281
whichfaceisreal,0_real,00063.jpeg,0.00010445957741467282
whichfaceisreal,0_real,00064.jpeg,0.00724692502990365
whichfaceisreal,0_real,00065.jpeg,0.020467456430196762
whichfaceisreal,0_real,00066.jpeg,0.0024907116312533617
whichfaceisreal,0_real,00067.jpeg,0.035320673137903214
whichfaceisreal,0_real,00068.jpeg,0.024760400876402855
whichfaceisreal,0_real,00069.jpeg,0.5812954306602478
whichfaceisreal,0_real,00070.jpeg,0.6319271922111511
whichfaceisreal,0_real,00071.jpeg,0.0005114913801662624
whichfaceisreal,0_real,00072.jpeg,0.00543886236846447
whichfaceisreal,0_real,00073.jpeg,0.17143191397190094
whichfaceisreal,0_real,00074.jpeg,0.010275869630277157
whichfaceisreal,0_real,00075.jpeg,0.07866436243057251
whichfaceisreal,0_real,00076.jpeg,0.23177801072597504
whichfaceisreal,0_real,00077.jpeg,0.011662180535495281
whichfaceisreal,0_real,00078.jpeg,0.012537816539406776
whichfaceisreal,0_real,00079.jpeg,0.0024894208181649446
whichfaceisreal,0_real,00080.jpeg,0.8843885660171509
whichfaceisreal,0_real,00081.jpeg,0.02166452817618847
whichfaceisreal,0_real,00082.jpeg,0.08663654327392578
whichfaceisreal,0_real,00083.jpeg,0.007779494393616915
whichfaceisreal,0_real,00084.jpeg,0.1562938541173935
whichfaceisreal,0_real,00085.jpeg,0.12300969660282135
whichfaceisreal,0_real,00086.jpeg,0.21284879744052887
whichfaceisreal,0_real,00087.jpeg,0.0005611692322418094
whichfaceisreal,0_real,00088.jpeg,0.0006421461002901196
whichfaceisreal,0_real,00089.jpeg,0.018945641815662384
whichfaceisreal,0_real,00090.jpeg,0.012695729732513428
whichfaceisreal,0_real,00091.jpeg,0.01123925019055605
whichfaceisreal,0_real,00092.jpeg,0.022124025970697403
whichfaceisreal,0_real,00093.jpeg,0.018940448760986328
whichfaceisreal,0_real,00094.jpeg,0.00027708994457498193
whichfaceisreal,0_real,00095.jpeg,0.044636499136686325
whichfaceisreal,0_real,00096.jpeg,0.14200876653194427
whichfaceisreal,0_real,00097.jpeg,0.0004328785580582917
whichfaceisreal,0_real,00098.jpeg,0.019856009632349014
whichfaceisreal,0_real,00099.jpeg,0.03541648015379906
whichfaceisreal,0_real,00100.jpeg,0.03296196833252907
whichfaceisreal,0_real,00101.jpeg,0.05359286814928055
whichfaceisreal,0_real,00102.jpeg,0.00027212113491259515
whichfaceisreal,0_real,00103.jpeg,0.06610595434904099
whichfaceisreal,0_real,00104.jpeg,0.005194811150431633
whichfaceisreal,0_real,00105.jpeg,0.0006210088613443077
whichfaceisreal,0_real,00106.jpeg,0.001913732965476811
whichfaceisreal,0_real,00107.jpeg,0.03166429325938225
whichfaceisreal,0_real,00108.jpeg,0.007749590557068586
whichfaceisreal,0_real,00109.jpeg,0.03945732116699219
whichfaceisreal,0_real,00110.jpeg,0.10861153900623322
whichfaceisreal,0_real,00111.jpeg,0.01427195593714714
whichfaceisreal,0_real,00112.jpeg,0.0018672948936000466
whichfaceisreal,0_real,00113.jpeg,0.010046017356216908
whichfaceisreal,0_real,00114.jpeg,0.034682370722293854
whichfaceisreal,0_real,00115.jpeg,0.040209315717220306
whichfaceisreal,0_real,00116.jpeg,0.0011973947985097766
whichfaceisreal,0_real,00117.jpeg,8.410023292526603e-05
whichfaceisreal,0_real,00118.jpeg,0.010231967084109783
whichfaceisreal,0_real,00119.jpeg,0.4344322681427002
whichfaceisreal,0_real,00120.jpeg,0.03681414574384689
whichfaceisreal,0_real,00121.jpeg,0.03464943543076515
whichfaceisreal,0_real,00122.jpeg,0.0020808062981814146
whichfaceisreal,0_real,00123.jpeg,0.007798661012202501
whichfaceisreal,0_real,00124.jpeg,0.0185347031801939
whichfaceisreal,0_real,00125.jpeg,0.0011441076640039682
whichfaceisreal,0_real,00126.jpeg,0.07740311324596405
whichfaceisreal,0_real,00127.jpeg,0.024229776114225388
whichfaceisreal,0_real,00128.jpeg,0.06894895434379578
whichfaceisreal,0_real,00129.jpeg,0.012562754563987255
whichfaceisreal,0_real,00130.jpeg,0.04536692798137665
whichfaceisreal,0_real,00131.jpeg,0.028040681034326553
whichfaceisreal,0_real,00132.jpeg,0.07655634731054306
whichfaceisreal,0_real,00133.jpeg,0.07154956459999084
whichfaceisreal,0_real,00134.jpeg,0.6085466742515564
whichfaceisreal,0_real,00135.jpeg,0.16602088510990143
whichfaceisreal,0_real,00136.jpeg,0.15010279417037964
whichfaceisreal,0_real,00137.jpeg,0.1654675006866455
whichfaceisreal,0_real,00138.jpeg,0.008063551038503647
whichfaceisreal,0_real,00139.jpeg,0.03805418312549591
whichfaceisreal,0_real,00140.jpeg,0.013565409928560257
whichfaceisreal,0_real,00141.jpeg,0.01481197215616703
whichfaceisreal,0_real,00142.jpeg,0.022921087220311165
whichfaceisreal,0_real,00143.jpeg,0.3473438322544098
whichfaceisreal,0_real,00144.jpeg,0.006960192229598761
whichfaceisreal,0_real,00145.jpeg,0.004771830979734659
whichfaceisreal,0_real,00146.jpeg,0.0027564975898712873
whichfaceisreal,0_real,00147.jpeg,0.006437946576625109
whichfaceisreal,0_real,00148.jpeg,0.0010923430090770125
whichfaceisreal,0_real,00149.jpeg,0.0457039475440979
whichfaceisreal,0_real,00150.jpeg,0.04105600342154503
whichfaceisreal,0_real,00151.jpeg,0.0014299502363428473
whichfaceisreal,0_real,00152.jpeg,0.0008290632977150381
whichfaceisreal,0_real,00153.jpeg,0.09239110350608826
whichfaceisreal,0_real,00154.jpeg,0.03955955430865288
whichfaceisreal,0_real,00155.jpeg,0.04830613732337952
whichfaceisreal,0_real,00156.jpeg,0.08961459994316101
whichfaceisreal,0_real,00157.jpeg,0.11393798142671585
whichfaceisreal,0_real,00158.jpeg,0.006442374549806118
whichfaceisreal,0_real,00159.jpeg,0.024539005011320114
whichfaceisreal,0_real,00160.jpeg,0.04068936035037041
whichfaceisreal,0_real,00161.jpeg,0.06313326209783554
whichfaceisreal,0_real,00163.jpeg,0.008042498491704464
whichfaceisreal,0_real,00164.jpeg,0.07485231757164001
whichfaceisreal,0_real,00165.jpeg,0.040718354284763336
whichfaceisreal,0_real,00166.jpeg,0.002764454809948802
whichfaceisreal,0_real,00167.jpeg,0.015338599681854248
whichfaceisreal,0_real,00168.jpeg,0.001422521541826427
whichfaceisreal,0_real,00169.jpeg,0.007017840631306171
whichfaceisreal,0_real,00170.jpeg,0.011541812680661678
whichfaceisreal,0_real,00171.jpeg,0.003993228077888489
whichfaceisreal,0_real,00172.jpeg,0.0001539290533401072
whichfaceisreal,0_real,00173.jpeg,0.13516460359096527
whichfaceisreal,0_real,00174.jpeg,0.01129919197410345
whichfaceisreal,0_real,00175.jpeg,0.045535266399383545
whichfaceisreal,0_real,00176.jpeg,0.03177439793944359
whichfaceisreal,0_real,00177.jpeg,0.009043530561029911
whichfaceisreal,0_real,00178.jpeg,0.08974457532167435
whichfaceisreal,0_real,00179.jpeg,0.26051434874534607
whichfaceisreal,0_real,00180.jpeg,0.00782204419374466
whichfaceisreal,0_real,00181.jpeg,0.1696348935365677
whichfaceisreal,0_real,00182.jpeg,0.018924277275800705
whichfaceisreal,0_real,00183.jpeg,0.04056621342897415
whichfaceisreal,0_real,00184.jpeg,0.003962578717619181
whichfaceisreal,0_real,00185.jpeg,0.079934261739254
whichfaceisreal,0_real,00186.jpeg,0.2432430386543274
whichfaceisreal,0_real,00187.jpeg,0.019340038299560547
whichfaceisreal,0_real,00188.jpeg,0.3262695074081421
whichfaceisreal,0_real,00189.jpeg,0.002972983755171299
whichfaceisreal,0_real,00190.jpeg,0.01951245591044426
whichfaceisreal,0_real,00191.jpeg,0.023742521181702614
whichfaceisreal,0_real,00192.jpeg,0.21933907270431519
whichfaceisreal,0_real,00193.jpeg,0.17321856319904327
whichfaceisreal,0_real,00194.jpeg,0.034748904407024384
whichfaceisreal,0_real,00195.jpeg,0.06323859840631485
whichfaceisreal,0_real,00196.jpeg,0.007025090977549553
whichfaceisreal,0_real,00197.jpeg,0.009609170258045197
whichfaceisreal,0_real,00198.jpeg,0.011882047168910503
whichfaceisreal,0_real,00199.jpeg,0.005446404218673706
whichfaceisreal,0_real,00200.jpeg,0.01792372204363346
